Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""Financial Partners przewiduje, iı w ciˆgu dw—ch miesi«cy od chwili wniesienia ca¸ej op¸aty wst«pnej przez uczestnika zakoÄczy procedur« przygotowawczˆ zmierzajˆcˆ do uzyskania przydzia¸u limitu wartoæci towaru przez uczestnika pod warunkiem, iı zgromadzone przez Financial Partners ærodki finansowe b«dˆ wystarczajˆce""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""o dokonaniu przydzia¸u limitu wartoæci towaru Financial Partners zawiadomi listem poleconym uczestnika, informujˆc go jednoczeænie o dalszej procedurze post«powania""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""uczestnik udokumentuje swoje moıliwoæci sp¸aty rat przedstawiajˆc stosowne dokumenty ıˆdane przez Financial Partners""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""po udzieleniu przez Financial Partners uczestnikowi poıyczki, niniejsza umowa ulega rozwiˆzaniu, a dalsze zobowiˆzania pomi«dzy stronami reguluje zawarta umowa poıyczki""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;27 mar 02; Sygn. akt XVII Amc 41/01;;Pow—d: Federacja Konsument—w w Warszawie; Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""uczestnik uzyska w terminie 9 dni od daty odstˆpienia zwrot wp¸aconych rat podstawowych (bez odsetek i waloryzacji) po potrˆceniu ewentualnych zaleg¸oæci i potrˆceniu 10% wartoæci wp¸aconych rat kapita¸owych tytu¸em kary umownej za przedterminowe rozwiˆzanie umowy. Op¸ata wst«pna (lub jej wp¸acona cz«æ) podlega zwrotowi jeıeli odstˆpienie od umowy nast«puje z wy¸ˆcznej winy Financial Partners lub jest efektem nienaleıytego wykonywania niniejszej umowy przez Financial Partners. Wp¸acone miesi«czne op¸aty administracyjne nie podlegajˆ zwrotowi, jako koszty zarzˆdzania i administrowania niniejszym systemem""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie; Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""uczestnik sk¸adajˆc sw—j podpis pod niniejszˆ umowˆ udziela Financial Partners nieodwo¸alnego pe¸nomocnictwa do r—wnoprawnego rozwiˆzywania przez Financial Partners spraw dotyczˆcych uczestnik—w, w tym spowodowanych si¸ˆ wyıszˆ, a kt—re poza wolˆ Financial Partners mog¸oby przynieæ szkod« systemowi lub uczestnikowi""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""niezaleınie od jakichkolwiek innych postanowieÄ zawartych w niniejszej sprawie Financial Partners nie b«dzie ponosi¸ odpowiedzialnoæci wobec uczestnika za utrat« zysk—w lub innˆ poæredniˆ szkod« wynikajˆcˆ z realizacji niniejszej umowy""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;27 mar 02; Sygn akt XVII Amc 21/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""W wyniku odstˆpienia od umowy wk¸ad w¸asny podlega zwrotowi w cz«æci pozosta¸ej po potrˆceniu koszt—w administracyjnych poniesieniu przez zleceniodawc«. Koszty te stanowiˆ 3,6% wartoæci kwoty kredytu wskazanego w Ankiecie Kredytowj""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;17 kwi 02; Sygn akt XVII Amc 21/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""Zleceniodawca oæwiadcza, ıe nie podpisuje umowy w zwiˆzku z jakimkolwiek oæwiadczeniem, kt—re mog¸oby by z¸oıone nieæwiadomie lub wskutek niedbalstwa w formie pisemnej lub ustnej, z wyjˆtkiem tych, kt—re sˆ wyranie zawarte w umowie i niniejszym zrzeka si« jakichkolwiek roszczeÄ z tytu¸u oæwiadczeÄ, kt—re nie zosta¸y w umowie wyranie okreælone""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;06 maj 02; Sygn. akt XVII Amc 44/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Wojciech P¸aczkowski;"Pozwana: Polska Grupa Kapita¸owa ""Kredyt"" Sp. z o.o. w Krakowie";"""Wst«pujˆcy, kt—ry odst«puje od umowy przed utworzeniem grupy, traci op¸at« wst«pnˆ""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;06 maj 02; Sygn. akt XVII Amc 44/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Wojciech P¸aczkowski;"Pozwana: Polska Grupa Kapita¸owa ""Kredyt"" Sp. z o.o. w Krakowie";ãUczestnik Grupy otrzyma zwrot wp¸aconych rat podstawowych, bez waloryzacji i oprocentowania, w czasie likwidacji grupy okreælonym w ¤ 19, po potrˆceniu naleınych PGK Kredyt koszt—w administracyjnych oraz p¸aty wst«pnejÓ;15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;06 maj 02; Sygn. akt XVII Amc 44/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Wojciech P¸aczkowski;"Pozwana: Polska Grupa Kapita¸owa ""Kredyt"" Sp. z o.o. w Krakowie";ãW sytuacjach nieprzewidzianych w niniejszej umowie, decyzje podejmuje PGK Kredyt w drodze zarzˆdzenia.Ó;15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;12 cze 02; Sygn. akt XVII Amc 6/00;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w w Lubaniu; Pozwana: AICE Polska S.A. w Warszawie;"""W przypadku gdyby klient podpisa¸ umow« i zrezygnowa¸ z uczestnictwa w Systemie zanim otrzyma informacj« o przynaleınoæci do grupy, a wi«c przed wp¸aceniem pierwszej raty AICE przyjmie jego rezygnacj« zatrzymujˆc op¸at« wst«pnˆ, kt—ra w ıadnym przypadku nie podlega zwrotowi""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;12 sie 02; Sygn. akt XVII Amc 43/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w we Wroc¸awiu;Pozwana: Europejski Fundusz Budowlany Sp. z o.o. z siedzibˆ we Wroc¸awiu;"""uczestnik Grupy otrzyma zwrot wp¸aconych rat podstawowych (...) po potrˆceniu (...) op¸aty wst«pnej""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;12 sie 02; Sygn. akt XVII Amc 43/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w we Wroc¸awiu;Pozwana: Europejski Fundusz Budowlany Sp. z o.o. z siedzibˆ we Wroc¸awiu;"""w stosunku do Uczestnika Grupy, kt—remu nie przydzielono jeszcze towaru (...) Uczestnik Grupy otrzyma zwrot wp¸aconych rat podstawowych (...) po potrˆceniu jednej raty podstawowej""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;12 sie 02; Sygn. akt XVII Amc 43/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w we Wroc¸awiu;Pozwana: Europejski Fundusz Budowlany Sp. z o.o. z siedzibˆ we Wroc¸awiu;"""w stosunku do Uczestnika Grupy, kt—ry nie zrealizowa¸ przydzielonego towaru podczas aktu asygnacyjnego (...) Uczestnik Grupy otrzyma zwrot wp¸aconych rat podstawowych (...) po potrˆceniu (...) jednej raty podstawowej""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;12 sie 02; Sygn. akt XVII Amc 43/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Powiatowy Rzecznik Konsument—w we Wroc¸awiu;Pozwana: Europejski Fundusz Budowlany Sp. z o.o. z siedzibˆ we Wroc¸awiu;"""w sytuacjach nieprzewidzianych w niniejszej umowie, decyzje podejmuje Zarzˆd EFB w drodze uchwa¸y""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie;"ãza rozpatrzenie nieuzasadnionej reklamacji 20,00 z¸""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie;"""Jeıeli po zakoÄczeniu procesu reklamacyjnego reklamacja Posiadacza karty nie zosta¸a w ca¸oæci lub cz«æci uznana, PKO BP S.A. ma prawo do obciˆıenia rachunku kosztami jej wyjaænienia""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie;"""Jeıeli po zakoÄczeniu procesu reklamacji reklamacja posiadacza karty nie zosta¸a w ca¸oæci lub cz«æci uwzgl«dniona, PKO BP S.A. ma prawo do obciˆıenia rachunku kwotˆ naleınych op¸at z datˆ obciˆıenia""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie;"""Jeıeli po zakoÄczeniu post«powania reklamacyjnego reklamacja Posiadacza karty nie zosta¸a w ca¸oæci lub cz«æci uznana, PKO BP S.A. ma prawo do obciˆıenia rachunku kwotˆ naleınych op¸at""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie ;"""PKO - bp podaje do wiadomoæci obowiˆzujˆce stawki prowizji i op¸at przez wywieszenie w Oddzia¸ach PKO - bp Taryfy oraz udost«pnia Taryf« na ıyczenie posiadacza rachunku""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;30 wrz 02; Sygn. akt XVII Amc 47/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwana: Powszechna Kasa Oszcz«dnoæci Bank Polski S.A. w Warszawie;"""W przypadku, gdy posiadacz rachunku zobowiˆza¸ si« do odbierania korespondencji i wyciˆg—w w Oddziale PKO - bp, korespondencj« nie odebranˆ przez 30 dni uznaje si« za dor«czonˆ""";29 lis 02;;USüUGI BANKOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
